Smiles,coconutID,PIC50
COC1=CC(/C=C/C(=O)OC[C@H](OC2=CC=C(/C=C/COC(=O)/C=C/C3=CC=C(O)C=C3)C=C2OC)[C@H](O)C2=CC=C(O)C(OC)=C2)=CC=C1O,coc93905,7.66535098
COC1=CC=C([C@@H]2CC(C3=C(O)C=C(C)OC3=O)=NC3=CC=CC=C3S2)C=C1,coc83561,7.66535098
CCCCCCCCCCCCCCCCCCCC[C@@H](O)C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@]3(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H](C(O)C(O)CO)O3)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CCCCCCCCCCCCCCC,coc24927,7.647644279
C=C(C)[C@@H]1CC[C@]2(C)[C@H](C[C@@H](O)[C@H]3[C@@H]([C@@](C)(O)C/C=C/C(C)(C)O)CC[C@]32C)[C@@]1(C)CCC(=O)O,coc28087,7.647644279
C/C(Cl)=C/C[C@H](N)C(=O)O,coc28758,7.647644279
COC1=CC=C(C(=O)O)C(O)=C1OC,coc34860,7.647644279
OC1=NC(O)=C2C=CC=CC2=N1,coc86920,7.647644279
CO[C@@H]1[C@@H](O)[C@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O[C@H]4[C@H](O[C@H]5CC[C@]6(C)C7CC[C@]89C(=O)O[C@@](C)(CC(=O)CC(C)C)[C@H]8CC[C@@]9(C)C7=CCC6C5(C)C)OC[C@@H](OS(=O)(=O)[O-])[C@@H]4O)O[C@@H]3C)O[C@H](COS(=O)(=O)[O-])[C@H]2O)O[C@H](COS(=O)(=O)[O-])[C@H]1O.[Na+].[Na+].[Na+],coc38258,7.647644279
OC1=CC=C([C@@H]2C3=C(O)C=C(O)C=C3[C@@H]3C4=C(C=C(O)C=C4[C@H]2[C@@H]2C4=CC(O)=CC5=C4[C@@H](C4=CC(O)=CC(O)=C4[C@H]2C2=CC=C(O)C=C2)[C@H](C2=CC=C(O)C(O)=C2)O5)O[C@H]3C2=CC=C(O)C=C2)C=C1,coc57798,7.647644279
C=CC(C)=CC=CC(=C)C,coc97748,7.647644279
CCC(=O)OC[C@@]12CO[C@@H](C)[C@@H](C1)C(C)=C[C@@H]2C,coc2170,7.647644279
C=C1C(=O)O[C@@H]2[C@H]3C(=C)[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O)C[C@H]3C(=C)C[C@@H](OC(C)=O)[C@@H]12,coc29818,7.647644279
CCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCC(C)C,coc1356,7.647644279
CCCCCCCCCC[C@@H]1[C@H]2C=C[C@@H]3[C@@H]4[C@H]2[C@H]1C[C@H]4C=C[C@H]3C(=O)OC,coc22222,7.647644279
CC1C(=O)C=C2C(=O)[C@H]3O[C@]3(C)CC[C@@H]3O[C@@]3(C)CCC1(C)[C@H]2C,coc86382,7.647644279
CN1CCC[C@H]1CC(=O)C[C@@H]1CCCN1C(=O)/C=C\C1=CC=CC=C1,coc29066,7.647644279
CC/C(=C\C(=O)O[C@H]1C(=O)O[C@@H]2C[C@H]3[C@H](C)C=C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(=O)[C@]3(C)[C@H]3[C@@H](O)[C@H](O)[C@@]4(C(=O)OC)OC[C@]32[C@@H]14)C(C)(C)OC(C)=O,coc55251,7.647644279
C[C@H]1O[C@H](OC[C@H]2O[C@@H](OC3=C(C4=CC=CC(O)=C4)OC4=CC(O)=C(O)C(O)=C4C3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O,coc93625,7.647644279
C[C@]12CC[C@H](COC3CCCC3)[C@]34CC[C@@H](CO)[C@](N)([C@@H]5C#CCC6=CC(O)=CC=C6C[C@H]6C[C@@H](CC7(CCCC7)C6)[C@@]5(C3)O1)[C@@H]42,coc36968,7.647644279
O=C(O)CCC(OC(=O)C=CC1=CC=C(O)C(O)=C1)C(=O)O,coc43503,7.647644279
C=C(C)[C@H](C)O,coc60724,7.645913676
O=C1CCC(C2=C(O)C=C(O)C3=C2OC(C2=CC=C(O)C(O)=C2)=CC3=O)N1,coc46435,7.645913676
CCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCC,coc19184,7.645913676
CCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCC(C)CC)OC(=O)CCCCCCC,coc98087,7.645913676
CC1=C(CO)C(=O)C2=C(O)C=C(O)C=C2O1,coc1084,7.645913676
CC1=C(C)[C@@H]2C3=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]4(C)[C@]3(C)CC[C@@]2(C(=O)O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)CC1,coc44056,7.645913676
CC(=O)N1CCN(C2=CC(C3=NOC([C@@H]4CCCN4CC4=CC=CC=C4)=N3)=CC=N2)CC1,coc69064,7.645913676
CC1(C)[C@@H](O)CC[C@]2(C)[C@H]3CC4=C(O)C=C5C(=O)OCC5=C4O[C@@]3(C)CC[C@@H]12,coc77383,7.645913676
N=C1N[C@H]2[C@H](COC(=O)NS(=O)(=O)O)NC(=N)N3C[C@H](OS(=O)(=O)O)C(O)(O)[C@]23N1,coc86567,7.645913676
COC1=CC=C(C[C@H](CC2=CC=C3OCOC3=C2)NC(=O)NCC2=CC=CC(OC)=C2)C=C1,coc94445,7.645913676
CC(C)=CCC1=C(O)C=C(CCC2=CC=CC=C2)C(CC=C(C)C)=C1O,coc58856,7.645913676
O=C(C1=CC=CO1)N1C[C@@H]2C[C@H](C1)C1=CC=C(C3=CC4=CC=CC=C4S3)C(=O)N1C2,coc85893,7.645913676
CC1=CC=CC(N2C(=O)[C@H]3[C@H]4C5=CC=CC=C5[C@](C=O)(C5=CC=CC=C54)[C@H]3C2=O)=C1,coc96904,7.645049489
C/C(=C\CC/C(C)=C/CC/C(C)=C/CC[C@@H]1[C@@]2(C)CCC(=O)C(C)(C)[C@@H]2CC[C@@]1(C)O)CO,coc6739,7.645049489
CC1=C(C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)[C@H](C)C(=O)N[C@H](C(=O)NCCC2=NC(C3=NC(C(=O)NCCC[S+](C)C)=CS3)CS2)[C@@H](C)O)[C@@H](OC2OC(CO)C(O)C(O)C2OC2OC(CO)C(O)C(OC(N)=O)C2O)C2=CN=CN2)N=C([C@H](CC(N)=O)NC[C@H](N)C(N)=O)NC1=N,coc12262,7.645049489
COC1=CC=CC(C2=NNC(C3=CC=C(C(=O)NCCC4=CC=CC(Cl)=C4)C=C3)=C2)=C1,coc74240,7.645049489
CC1(C)CCC[C@](C)([C@H]2[C@@H]3C[C@@]4(C)[C@@H]5CC[C@H]6C(C)(C)[C@@H](O)CC[C@]6(C)C5=CC[C@]24C(=O)O3)O1,coc73222,7.645049489
COC1=C(C)C2=C(C(=O)OC2)C(O)=C1C/C=C(\C)CCC[C@H](C)[C@H](O)CC(=O)O,coc81219,7.645049489
CC1=CC=C2C(N)=C(C(=O)N3CCC[C@H]3C(=O)O)SC2=N1,coc14291,7.645049489
C/C(=C/C=C/C=C/[C@H](O)C1=CN=CO1)[C@@H](O)C(C)(C)C(N)=O,coc24911,7.645049489
C=C(C)C(=O)O[C@H]1CC(=C)[C@@H]2C[C@H](O)[C@]3(CO3)[C@@H]2[C@H]2OC(=O)[C@@H](C)[C@@H]21,coc69621,7.645049489
CC1(C)CC[C@@]2(CO)CC[C@@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)[C@@](C)(CO)[C@H]5CC[C@]43C)[C@H]2C1,coc694,7.645049489
COC(=O)[C@]1(C)CCC(=O)N1,coc13400,7.645049489
CC(=O)N[C@H](CCC(=O)O)C(=O)NCCC1=CC=C(O)C=C1,coc50875,7.645049489
CCOC(=O)C1=CNC2=CC=C(OC)C=C2C1=O,coc31942,7.643318886
C/C(=C/C(=O)C[C@H](C)C(=O)O)[C@@H]1CC(=O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@H]1C[C@@H]3O,coc51213,7.643318886
CCCCCCCCCCCCCCC(=O)OCC(O)CO[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O,coc40942,7.642911583
CC(C)CC(=O)C[C@](C)(O)[C@H]1CCC2C3C[C@H](OS(=O)(=O)[O-])C4CC(O[C@@H]5O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]5O)CC[C@]4(C)C3=CC[C@@]21C.[Na+].[Na+],coc30896,7.642911583
COC1=CC=CC(C=C2OC3=CC(OCC4=CC=CC=C4)=CC=C3C2=O)=C1OC,coc29504,7.635016584
CC1=CC(=O)OC1CCC1(C)OC2(C3CC3C)OC3CC(C)C4C(=O)C1C2(O)C(C)C34,coc47280,7.635016584
COC(=O)C1C(O)C(OC(=O)C=CC2=CC(OC)=C(OC)C(OC)=C2)CC2CN3CCC4=C(NC5=CC(OC)=CC=C45)C3CC21,coc77936,7.635016584
C=C[C@@](C)(O)CCC[C@@H](C)CC[C@@H]1[C@@H](C)CCCC1(C)C,coc80672,7.635016584
CC(=O)[C@@H]1CC[C@@H]2[C@H]3CCC4=C/C(=N/OCC(=O)NCC5=CC=C(C(=O)O)C=C5)CC[C@]4(C)[C@@H]3CC[C@@]21C,coc71430,7.635016584
CCCCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCC(C)C,coc73428,7.635016584
C[C@@H](CO)CC[C@H](O)[C@@H](C)[C@H]1[C@@H](O)C[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,coc76952,7.635016584
O=C(O)C1=CC=C(CNC[C@H]2COCC3=NC4=CC=CC=C4N32)C=C1,coc40258,7.635016584
